,"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),is_rainy
75,"03,17",38.4,12.3,35.0,13.6,30.1,0.0,False
76,"03,18",38.8,13.4,36.1,7.6,30.3,0.0,False
77,"03,19",41.8,19.3,42.5,7.2,30.4,0.0,False
78,"03,20",43.9,25.4,51.2,10.0,30.3,0.0,False
79,"03,21",42.0,37.1,83.0,14.1,30.0,0.0,False
80,"03,22",43.1,36.5,79.8,22.2,29.4,1.16,True
81,"03,23",40.5,19.4,45.0,22.9,29.8,0.06,True
82,"03,24",49.2,12.5,24.1,11.9,30.1,0.0,False
83,"03,25",50.9,25.7,38.5,9.3,30.0,0.0,False
84,"03,26",41.2,4.3,22.3,12.6,30.2,0.0,False
85,"03,27",38.9,12.9,35.3,10.3,30.5,0.0,False
86,"03,28",43.1,27.8,55.6,9.9,30.4,0.0,False
87,"03,29",52.9,39.3,60.4,7.3,30.1,0.0,False
88,"03,30",54.7,42.0,63.8,11.6,30.0,0.0,False
89,"03,31",50.9,40.9,69.3,15.1,29.7,0.0,False
90,"04,01",39.8,15.4,38.4,16.4,30.2,0.08,True
91,"04,02",43.6,23.0,45.7,10.3,30.3,0.0,False
92,"04,03",51.2,27.4,49.7,17.5,30.0,0.0,False
93,"04,04",50.7,16.8,26.6,14.3,30.3,0.0,False
94,"04,05",40.0,23.0,55.9,10.8,30.4,0.0,False
95,"04,06",48.2,39.0,74.2,7.1,30.2,0.23,True
96,"04,07",55.4,40.0,57.8,7.7,30.2,0.0,False
97,"04,08",57.3,49.4,77.4,11.8,29.8,0.25,True
98,"04,09",45.9,42.1,87.0,9.1,29.7,0.0,False
99,"04,10",51.1,31.2,49.2,12.7,29.8,0.02,True
100,"04,11",45.1,21.3,39.6,7.3,30.2,0.0,False
101,"04,12",53.1,42.0,68.1,11.8,30.2,0.0,False
102,"04,13",63.6,56.2,78.2,9.5,30.0,0.76,True
103,"04,14",60.7,57.0,88.1,9.4,29.8,0.0,False
104,"04,15",55.1,46.9,76.0,18.5,29.4,0.6,True
105,"04,16",52.7,22.5,32.9,18.6,29.9,0.18,True
106,"04,17",52.5,30.8,46.1,8.5,30.1,0.01,True
107,"04,18",55.4,44.1,67.0,11.6,30.0,0.0,False
108,"04,19",62.7,56.3,80.6,13.3,29.8,0.0,False
109,"04,20",59.6,56.9,91.0,15.7,29.7,0.33,True
110,"04,21",56.7,48.0,73.8,9.4,30.0,0.35,True
111,"04,22",55.1,49.7,82.3,8.5,30.0,0.0,False
112,"04,23",62.4,49.1,63.9,8.3,29.9,0.29,True
113,"04,24",63.4,41.8,46.6,12.5,29.7,0.11,True
114,"04,25",54.5,40.3,59.6,8.4,29.9,0.0,False
115,"04,26",53.5,50.2,88.6,12.9,29.6,0.21,True
116,"04,27",53.3,34.1,51.1,17.7,29.5,1.01,True
117,"04,28",49.6,37.2,62.4,11.0,30.0,0.0,False
118,"04,29",50.2,29.1,46.4,9.8,30.3,0.0,False
119,"04,30",50.4,46.4,86.5,6.9,30.2,0.07,True
120,"05,01",50.9,44.8,80.7,8.1,30.3,0.0,False
121,"05,02",54.9,50.0,84.8,7.7,30.1,0.01,True
122,"05,03",50.0,47.6,91.8,8.8,30.1,0.0,False
123,"05,04",54.7,52.7,93.4,4.5,29.9,0.18,True
124,"05,05",51.5,50.8,97.5,12.6,29.8,0.65,True
125,"05,06",55.3,46.6,74.4,10.6,29.9,0.69,True
126,"05,07",57.5,49.3,74.5,9.3,30.1,0.0,False
127,"05,08",59.3,47.2,66.0,7.8,30.2,0.06,True
128,"05,09",55.4,42.6,63.6,11.8,30.3,0.0,False
129,"05,10",63.8,56.1,76.8,9.6,30.0,0.01,True
130,"05,11",63.1,46.3,56.5,9.4,30.0,0.04,True
131,"05,12",49.0,44.5,84.7,18.2,29.9,0.42,True
132,"05,13",46.6,42.5,85.7,12.2,29.8,0.81,True
133,"05,14",47.1,42.6,84.5,7.9,29.8,0.58,True
134,"05,15",55.5,41.8,63.4,10.6,29.8,0.21,True
135,"05,16",64.1,45.3,53.2,7.4,29.8,0.1,True
136,"05,17",70.4,52.3,53.6,9.8,29.8,0.0,False
137,"05,18",64.5,42.7,46.2,9.6,29.9,0.03,True
138,"05,19",67.4,57.5,70.7,10.7,30.0,0.0,False
139,"05,20",76.7,59.7,59.6,13.1,29.8,0.03,True
140,"05,21",64.5,38.5,39.7,18.5,29.9,0.0,False
141,"05,22",66.3,35.8,33.8,10.5,30.2,0.0,False
142,"05,23",66.6,53.6,64.9,9.2,30.0,0.36,True
143,"05,24",69.6,51.8,54.0,17.9,29.9,0.12,True
144,"05,25",63.2,48.0,58.6,12.3,30.1,0.0,False
145,"05,26",73.8,59.0,62.3,8.3,29.9,0.0,False
146,"05,27",73.8,50.4,45.2,8.5,29.9,0.25,True
147,"05,28",67.4,58.6,73.8,9.1,29.8,0.0,False
148,"05,29",59.6,55.0,84.9,8.4,29.7,0.19,True
149,"05,30",61.5,57.5,86.7,6.1,29.7,0.83,True
150,"05,31",70.5,58.7,69.6,7.0,29.7,0.8,True
151,"06,01",69.8,56.0,63.0,7.5,29.8,0.0,False
152,"06,02",70.1,59.6,72.0,9.4,29.7,0.0,False
153,"06,03",65.6,39.3,40.1,13.0,29.9,0.39,True
154,"06,04",65.4,38.0,37.2,9.3,30.0,0.0,False
155,"06,05",72.9,57.5,59.7,10.5,29.8,0.0,False
156,"06,06",76.2,62.9,65.5,9.0,29.7,0.05,True
157,"06,07",71.0,58.8,66.4,8.1,29.9,0.0,False
158,"06,08",70.8,50.8,52.7,9.5,30.1,0.0,False
159,"06,09",67.5,48.0,52.9,11.5,30.3,0.0,False
160,"06,10",63.8,60.0,87.7,12.3,30.0,0.0,False
161,"06,11",69.6,56.2,68.0,12.3,29.9,1.15,True
162,"06,12",67.4,46.4,47.8,10.5,30.1,0.0,False
163,"06,13",62.3,54.2,75.0,12.2,29.8,0.0,False
164,"06,14",66.1,49.8,60.6,12.1,29.9,0.65,True
165,"06,15",74.2,47.0,39.2,11.7,30.0,0.0,False
166,"06,16",75.4,61.7,63.1,9.5,29.8,0.03,True
167,"06,17",72.9,63.4,72.3,6.3,29.9,0.0,False
168,"06,18",70.2,66.4,87.8,7.2,29.9,0.1,True
169,"06,19",67.3,64.6,91.2,6.8,29.8,0.53,True
170,"06,20",69.9,67.9,93.5,7.8,29.5,0.09,True
171,"06,21",69.7,60.0,74.7,11.6,29.5,1.27,True
172,"06,22",72.3,48.5,44.3,15.1,29.9,0.15,True
173,"06,23",76.6,50.1,40.5,10.7,29.9,0.0,False
174,"06,24",78.0,55.4,47.5,7.7,29.8,0.0,False
175,"06,25",76.4,69.0,78.7,6.0,29.8,0.39,True
176,"06,26",78.5,62.2,62.9,6.2,30.0,0.03,True
177,"06,27",82.1,57.6,45.5,6.8,30.1,0.0,False
178,"06,28",82.6,56.6,41.8,5.3,30.1,0.0,False
179,"06,29",82.3,64.5,56.4,8.5,29.9,0.0,False
180,"06,30",77.5,58.6,53.8,14.1,29.8,0.04,True
181,"07,01",77.6,54.1,45.8,9.5,29.9,0.02,True
182,"07,02",81.0,60.2,49.5,6.8,29.8,0.0,False
183,"07,03",81.3,65.4,58.8,6.5,29.8,0.01,True
184,"07,04",80.8,64.0,60.2,8.2,30.0,0.0,False
185,"07,05",78.8,69.5,73.4,7.7,30.1,0.0,False
186,"07,06",83.0,71.3,68.5,9.5,29.9,0.0,False
187,"07,07",78.6,64.8,63.2,9.3,29.9,0.0,False
188,"07,08",74.6,60.2,62.2,5.2,29.9,0.0,False
189,"07,09",80.7,60.7,53.2,5.8,30.0,0.02,True
190,"07,10",83.2,64.1,53.5,5.8,30.0,0.0,False
191,"07,11",78.5,68.6,73.7,10.3,29.8,0.0,False
192,"07,12",78.9,65.8,66.7,9.2,29.7,0.72,True
193,"07,13",80.3,61.7,54.0,9.8,29.9,0.0,False
194,"07,14",84.3,58.9,42.6,11.3,29.9,0.0,False
195,"07,15",80.4,55.3,42.9,7.8,30.0,0.0,False
196,"07,16",83.6,61.0,47.7,8.8,30.0,0.0,False
197,"07,17",83.7,70.8,66.8,11.1,29.9,0.0,False
198,"07,18",75.0,70.9,86.9,9.7,29.9,2.69,True
199,"07,19",80.5,70.2,72.2,8.4,29.9,0.3,True
200,"07,20",91.5,70.5,51.1,10.1,29.8,0.0,False
201,"07,21",91.1,70.5,51.6,10.0,29.8,0.0,False
202,"07,22",80.7,70.0,71.2,8.1,29.8,0.01,True
203,"07,23",71.8,65.1,79.8,8.6,29.8,1.76,True
204,"07,24",76.5,61.1,61.8,6.2,29.9,0.02,True
205,"07,25",78.5,58.2,51.4,6.1,30.1,0.0,False
206,"07,26",79.8,59.3,51.5,6.6,30.2,0.0,False
207,"07,27",80.3,62.9,55.7,9.1,30.2,0.0,False
208,"07,28",84.3,62.6,50.0,9.7,30.1,0.0,False
209,"07,29",86.1,63.8,47.9,7.8,30.0,0.0,False
210,"07,30",86.8,67.6,53.2,9.4,29.9,0.0,False
211,"07,31",79.3,66.6,66.2,6.6,30.0,0.0,False
212,"08,01",80.2,59.1,52.1,6.5,30.0,0.58,True
213,"08,02",78.4,61.8,58.2,8.7,30.1,0.0,False
214,"08,03",79.7,66.5,65.0,9.8,30.0,0.0,False
215,"08,04",78.8,64.1,63.0,5.8,29.9,0.12,True
216,"08,05",76.1,58.8,56.0,9.4,29.9,0.0,False
217,"08,06",75.3,67.6,77.3,8.3,29.9,0.0,False
218,"08,07",77.2,69.0,76.2,9.9,29.8,0.0,False
219,"08,08",77.2,64.2,66.7,8.2,29.7,0.62,True
220,"08,09",78.3,58.9,52.6,9.0,29.7,0.1,True
221,"08,10",76.1,51.5,42.9,12.2,29.8,0.0,False
222,"08,11",75.6,51.0,42.8,7.2,30.0,0.0,False
223,"08,12",80.2,55.6,43.9,8.0,29.9,0.0,False
224,"08,13",77.8,67.0,69.4,7.7,29.8,0.01,True
225,"08,14",75.9,68.2,77.5,8.8,29.8,0.01,True
226,"08,15",75.7,64.2,68.9,8.3,30.0,0.0,False
227,"08,16",75.2,65.4,71.8,7.9,30.0,0.0,False
228,"08,17",76.9,70.2,80.2,8.5,30.0,0.0,False
229,"08,18",80.2,71.2,75.1,7.6,30.0,0.16,True
230,"08,19",83.0,68.6,62.4,8.6,29.9,0.43,True
231,"08,20",81.7,64.7,57.5,8.0,30.0,0.0,False
232,"08,21",81.8,70.8,70.2,8.4,29.9,0.0,False
233,"08,22",80.7,67.7,66.6,10.0,29.8,0.35,True
234,"08,23",72.6,61.5,69.3,7.4,29.9,1.18,True
235,"08,24",70.7,51.0,50.8,8.6,30.1,0.06,True
236,"08,25",70.5,55.4,59.6,16.1,30.2,0.0,False
237,"08,26",67.0,53.9,63.2,11.5,30.2,0.0,False
238,"08,27",69.4,56.0,62.7,7.1,30.1,0.0,False
239,"08,28",71.3,65.7,82.4,8.4,29.9,0.0,False
240,"08,29",75.7,56.2,53.1,11.7,29.9,0.1,True
241,"08,30",79.6,56.5,45.8,9.2,30.0,0.0,False
242,"08,31",75.8,53.8,47.3,8.5,30.2,0.0,False
243,"09,01",71.6,56.1,58.5,9.6,30.3,0.0,False
244,"09,02",73.8,65.9,76.5,9.2,30.0,0.0,False
245,"09,03",74.8,59.8,61.2,8.5,30.0,0.51,True
246,"09,04",78.1,65.3,65.9,10.0,29.9,0.0,False
247,"09,05",69.9,54.9,59.1,9.2,30.0,0.0,False
248,"09,06",65.1,56.7,74.4,16.7,29.9,0.0,False
249,"09,07",67.5,52.4,60.6,12.4,29.8,0.03,True
250,"09,08",72.0,55.0,56.0,7.5,30.0,0.0,False
251,"09,09",70.8,58.1,64.4,10.6,30.2,0.0,False
252,"09,10",72.1,63.8,75.7,8.8,30.3,0.0,False
253,"09,11",78.9,66.0,65.7,10.1,30.1,0.0,False
254,"09,12",73.8,64.8,74.0,12.0,30.1,0.0,False
255,"09,13",65.0,50.4,60.3,11.4,30.4,0.07,True
256,"09,14",70.8,59.5,67.6,9.9,30.2,0.0,False
257,"09,15",76.1,60.0,60.3,5.7,30.1,0.0,False
258,"09,16",73.4,59.6,62.1,6.1,30.0,0.0,False
259,"09,17",70.0,45.5,43.5,9.1,30.1,0.0,False
260,"09,18",63.9,49.1,59.6,11.0,30.2,0.0,False
261,"09,19",62.0,40.3,47.8,7.8,30.3,0.0,False
262,"09,20",70.3,44.3,41.5,8.0,30.2,0.0,False
263,"09,21",73.5,54.3,53.2,3.9,30.2,0.0,False
264,"09,22",77.2,59.7,55.4,7.4,30.1,0.0,False
265,"09,23",80.8,63.4,56.7,11.0,29.8,0.0,False
266,"09,24",72.2,52.9,51.3,13.6,29.8,0.03,True
267,"09,25",70.5,50.8,51.1,7.6,29.9,0.0,False
268,"09,26",71.6,58.0,62.8,9.7,29.8,0.0,False
269,"09,27",68.7,50.3,54.0,7.9,30.1,0.0,False
270,"09,28",73.4,61.8,67.8,9.0,30.1,0.0,False
271,"09,29",74.0,55.9,55.0,9.4,30.2,0.0,False
272,"09,30",65.4,49.7,57.1,12.1,30.3,0.0,False
273,"10,01",72.7,58.9,62.1,10.2,30.0,0.0,False
274,"10,02",79.2,65.6,64.7,10.2,29.8,0.0,False
275,"10,03",58.3,54.4,86.8,13.7,30.1,0.32,True
276,"10,04",60.3,48.9,68.3,12.7,30.0,0.12,True
277,"10,05",53.6,35.9,52.3,9.5,30.4,0.0,False
278,"10,06",65.9,55.0,68.1,10.7,30.3,0.0,False
279,"10,07",70.7,60.5,71.0,12.0,30.1,0.01,True
280,"10,08",61.5,50.8,69.0,11.4,30.2,0.06,True
281,"10,09",56.6,47.2,71.4,16.2,30.2,0.0,False
282,"10,10",60.4,40.7,51.8,15.8,30.2,0.54,True
283,"10,11",60.2,40.1,47.8,15.9,30.1,0.0,False
284,"10,12",61.0,47.0,60.5,7.5,29.9,0.0,False
285,"10,13",61.0,45.6,58.4,8.3,30.0,0.0,False
286,"10,14",64.3,49.5,62.0,7.4,29.9,0.0,False
287,"10,15",59.4,39.4,49.5,7.0,30.1,0.0,False
288,"10,16",62.1,54.2,75.8,15.8,29.6,0.0,False
289,"10,17",55.7,40.6,57.6,23.5,29.3,1.71,True
290,"10,18",54.0,38.8,56.5,20.1,29.8,0.0,False
291,"10,19",53.4,36.2,53.0,6.3,30.0,0.0,False
292,"10,20",55.5,48.1,76.7,8.1,30.0,0.0,False
293,"10,21",57.5,47.0,69.9,9.6,30.0,0.37,True
294,"10,22",58.6,53.2,83.0,10.7,30.0,0.0,False
295,"10,23",61.5,46.3,63.4,13.1,29.9,0.51,True
296,"10,24",59.3,34.0,39.5,8.1,30.3,0.0,False
297,"10,25",59.4,47.2,64.5,5.6,30.2,0.0,False
298,"10,26",59.6,43.0,55.0,7.7,30.2,0.0,False
299,"10,27",61.7,57.4,85.8,13.0,29.9,0.03,True
300,"10,28",58.8,49.1,70.9,9.9,30.1,1.38,True
301,"10,29",55.7,53.5,92.4,8.6,30.3,0.0,False
302,"10,30",58.5,58.0,98.1,8.2,30.2,0.1,True
303,"10,31",63.0,62.2,97.0,13.4,29.9,0.3,True
304,"11,01",52.4,37.0,58.1,19.5,29.9,0.2,True
305,"11,02",45.3,31.5,58.8,7.3,30.1,0.0,False
306,"11,03",47.8,28.8,48.0,12.0,30.1,0.0,False
307,"11,04",49.7,29.9,47.3,8.5,30.3,0.0,False
308,"11,05",56.6,44.2,64.5,7.4,30.2,0.0,False
309,"11,06",51.8,28.7,42.8,10.5,30.3,0.0,False
310,"11,07",51.8,35.8,56.1,9.9,30.1,0.0,False
311,"11,08",38.2,22.2,54.1,17.9,30.1,0.08,True
312,"11,09",35.6,17.3,48.3,8.2,30.3,0.0,False
313,"11,10",46.0,24.5,43.1,8.2,30.1,0.0,False
314,"11,11",54.3,40.6,60.5,5.6,30.0,0.0,False
315,"11,12",44.7,32.7,63.4,16.9,29.8,0.0,False
316,"11,13",29.5,9.2,43.8,16.2,30.3,0.02,True
317,"11,14",37.3,16.7,43.6,6.8,30.4,0.0,False
318,"11,15",45.3,21.7,39.9,8.3,30.2,0.0,False
319,"11,16",38.9,11.4,34.7,15.8,30.4,0.0,False
320,"11,17",38.3,23.1,55.3,19.0,30.3,0.0,False
321,"11,18",40.4,35.7,83.8,11.8,29.8,0.01,True
322,"11,19",44.1,36.9,76.8,6.8,29.7,0.62,True
323,"11,20",43.8,31.3,61.9,13.3,29.9,0.0,False
324,"11,21",46.5,30.0,53.4,7.6,30.1,0.0,False
325,"11,22",49.0,34.3,57.7,15.8,29.8,0.0,False
326,"11,23",41.0,20.8,44.9,9.8,29.9,0.07,True
327,"11,24",43.9,38.6,82.3,17.9,29.4,0.55,True
328,"11,25",46.9,33.1,59.1,8.8,29.8,0.19,True
329,"11,26",51.4,38.4,62.2,6.9,30.0,0.0,False
330,"11,27",53.2,45.6,75.8,9.3,29.8,0.0,False
331,"11,28",48.2,31.1,52.1,22.7,29.8,0.02,True
332,"11,29",36.8,22.7,57.0,14.7,30.2,0.0,False
333,"11,30",37.5,17.5,45.8,9.8,30.0,0.0,False
334,"12,01",34.9,26.9,74.5,18.4,29.8,0.0,False
335,"12,02",36.4,32.6,86.3,17.3,29.5,0.62,True
336,"12,03",33.7,25.6,72.8,18.7,29.5,0.34,True
337,"12,04",37.7,27.6,67.2,10.5,29.5,0.0,False
338,"12,05",39.9,26.4,60.0,15.7,29.7,0.0,False
339,"12,06",42.3,23.8,48.3,13.6,30.0,0.0,False
340,"12,07",36.3,18.3,48.5,14.8,30.3,0.0,False
341,"12,08",35.7,20.6,54.6,7.7,30.5,0.0,False
342,"12,09",47.3,43.7,87.5,8.2,30.1,0.17,True
343,"12,10",55.5,48.7,78.1,13.1,29.8,1.63,True
344,"12,11",35.7,28.6,77.2,10.8,30.2,0.43,True
345,"12,12",32.2,10.6,41.5,10.5,30.6,0.03,True
346,"12,13",41.6,36.0,80.9,11.7,30.3,0.0,False
347,"12,14",50.3,47.7,91.3,10.9,29.4,2.05,True
348,"12,15",44.6,26.5,49.9,20.7,29.7,0.09,True
349,"12,16",36.1,17.8,47.6,8.3,30.2,0.0,False
350,"12,17",34.3,29.5,82.7,13.6,29.9,0.5,True
351,"12,18",32.8,22.8,66.8,17.9,29.8,0.48,True
352,"12,19",22.5,8.6,55.7,20.6,30.3,0.0,False
353,"12,20",27.8,12.4,52.8,12.0,30.5,0.0,False
354,"12,21",29.6,17.7,61.2,5.4,30.6,0.0,False
355,"12,22",38.7,23.7,55.8,6.7,30.3,0.0,False
356,"12,23",47.2,26.4,46.5,6.7,30.1,0.0,False
357,"12,24",43.6,25.2,48.8,8.7,30.1,0.0,False
358,"12,25",37.4,24.7,60.7,6.1,30.2,0.0,False
359,"12,26",38.7,34.3,84.6,8.8,30.3,0.0,False
360,"12,27",49.9,40.8,71.0,8.7,30.2,0.0,False
361,"12,28",47.4,35.3,64.4,8.3,30.2,0.0,False
362,"12,29",40.9,32.3,72.4,8.1,30.1,0.0,False
363,"12,30",40.8,37.4,87.7,18.5,29.8,0.53,True
364,"12,31",40.6,34.5,79.2,9.3,29.7,0.25,True
